id_transacao,nome_cliente,data_emissao,data_vencimento,valor,meio_pagamento,recorrencia,elegivel_antecipacao,tipo_cliente
f668814c,Carvalho Sousa S/A,2023-07-02,2023-08-01,370.18,Boleto,Mensal,True,Recorrente
06150f34,Alves S/A,2023-07-28,2023-07-28,655.99,Cartão de Crédito,Mensal,True,Recorrente
8a7a075c,da Conceição Montenegro - EI,2023-07-20,2023-07-20,2141.61,Pix,Mensal,True,Recorrente
0de7be34,Câmara,2023-07-13,2023-07-13,984.89,Pix,Mensal,True,Recorrente
224b7b89,Pastor,2023-07-19,2023-08-18,552.18,Pix,Anual,True,Recorrente
87fa4fbd,Abreu,2023-07-20,2023-07-20,478.13,Pix,Mensal,False,Recorrente
07889b6c,Ferreira,2023-07-22,2023-08-21,1979.77,Pix,Anual,False,Recorrente
0bad7eb8,Aparecida,2023-07-30,2023-08-14,1366.3,Boleto,Mensal,True,Recorrente
2b4d78df,Nascimento,2023-07-22,2023-08-21,1532.53,Boleto,Mensal,False,Recorrente
53a803d0,Garcia S/A,2023-07-08,2023-07-23,1633.09,Boleto,Mensal,False,Recorrente
356fc258,Pires,2023-07-05,2023-08-04,2498.31,Boleto,Mensal,False,Recorrente
83cb5199,Oliveira,2023-07-15,2023-07-30,1281.19,Cartão de Crédito,Mensal,True,Recorrente
aff52b6d,Santos Azevedo S/A,2023-07-01,2023-07-16,2465.48,Cartão de Crédito,Mensal,True,Recorrente
618e106a,Vargas da Rocha S/A,2023-07-05,2023-07-20,650.91,Cartão de Crédito,Mensal,True,Novo/Avulso
2b56b7f3,Brito Garcia Ltda.,2023-07-15,2023-08-14,1018.39,Boleto,Avulso,False,Novo/Avulso
5dc8777d,Porto,2023-07-17,2023-07-17,2470.0,Pix,Anual,False,Novo/Avulso
511d0649,Castro,2023-07-09,2023-07-09,393.43,Boleto,Avulso,True,Novo/Avulso
7162c79d,Alves e Filhos,2023-08-09,2023-08-09,208.78,Cartão de Crédito,Anual,False,Recorrente
91a94084,Carvalho Sousa S/A,2023-08-18,2023-09-17,370.18,Boleto,Mensal,False,Recorrente
b4ec07fb,Alves S/A,2023-08-18,2023-08-18,655.99,Cartão de Crédito,Mensal,True,Recorrente
7e957a0f,da Conceição Montenegro - EI,2023-08-03,2023-09-02,2141.61,Pix,Mensal,True,Recorrente
fa9d43e3,Câmara,2023-08-18,2023-08-18,984.89,Pix,Mensal,False,Recorrente
b5df3bb5,Pastor,2023-08-19,2023-09-18,552.18,Pix,Anual,True,Recorrente
b8dc5487,Abreu,2023-08-14,2023-08-14,478.13,Pix,Mensal,True,Recorrente
98838e43,Ferreira,2023-08-10,2023-08-25,1979.77,Pix,Anual,True,Recorrente
f777690a,Aparecida,2023-08-29,2023-09-13,1366.3,Boleto,Mensal,True,Recorrente
f5fee9f0,Nascimento,2023-08-22,2023-08-22,1532.53,Boleto,Mensal,True,Recorrente
84afac5f,Garcia S/A,2023-08-12,2023-09-11,1633.09,Boleto,Mensal,False,Recorrente
60d57bd5,Pires,2023-08-20,2023-09-19,2498.31,Boleto,Mensal,True,Recorrente
1d4497d8,Oliveira,2023-08-30,2023-08-30,1281.19,Cartão de Crédito,Mensal,True,Recorrente
a507e9c2,Santos Azevedo S/A,2023-08-26,2023-08-26,2465.48,Cartão de Crédito,Mensal,False,Recorrente
b09a3d7a,Vargas da Rocha S/A,2023-08-01,2023-08-01,650.91,Cartão de Crédito,Mensal,False,Recorrente
cf2b4a20,Porto,2023-08-26,2023-09-10,2470.0,Pix,Anual,True,Recorrente
1fe0343c,Fogaça,2023-08-13,2023-08-13,2000.33,Boleto,Mensal,False,Novo/Avulso
409ebd32,Rios da Mata e Filhos,2023-08-12,2023-08-27,2068.98,Cartão de Crédito,Mensal,True,Novo/Avulso
a951498c,Pereira e Filhos,2023-08-11,2023-08-26,1701.08,Cartão de Crédito,Mensal,True,Novo/Avulso
a1156cce,Nascimento Siqueira S.A.,2023-08-17,2023-09-01,805.94,Pix,Avulso,False,Novo/Avulso
98e1348d,Alves e Filhos,2023-09-24,2023-10-24,208.78,Cartão de Crédito,Anual,True,Recorrente
291703d4,Carvalho Sousa S/A,2023-09-12,2023-09-27,370.18,Boleto,Mensal,True,Recorrente
167fc3a5,Alves S/A,2023-09-22,2023-10-07,655.99,Cartão de Crédito,Mensal,False,Recorrente
0fdb7748,da Conceição Montenegro - EI,2023-09-22,2023-09-22,2141.61,Pix,Mensal,False,Recorrente
d2280e67,Câmara,2023-09-17,2023-10-02,984.89,Pix,Mensal,False,Recorrente
b096336a,Pastor,2023-09-11,2023-09-26,552.18,Pix,Anual,False,Recorrente
b8e9ef78,Abreu,2023-09-18,2023-09-18,478.13,Pix,Mensal,True,Recorrente
c489eac8,Ferreira,2023-09-14,2023-10-14,1979.77,Pix,Anual,False,Recorrente
f8097828,Aparecida,2023-09-22,2023-10-22,1366.3,Boleto,Mensal,True,Recorrente
e3ad21f1,Nascimento,2023-09-20,2023-10-20,1532.53,Boleto,Mensal,False,Recorrente
70bcf0bf,Garcia S/A,2023-09-13,2023-10-13,1633.09,Boleto,Mensal,True,Recorrente
6f713026,Pires,2023-09-10,2023-09-25,2498.31,Boleto,Mensal,True,Recorrente
80afd71b,Oliveira,2023-09-14,2023-10-14,1281.19,Cartão de Crédito,Mensal,False,Recorrente
e62c68a8,Santos Azevedo S/A,2023-09-15,2023-09-30,2465.48,Cartão de Crédito,Mensal,False,Recorrente
b4c3d845,Vargas da Rocha S/A,2023-09-22,2023-09-22,650.91,Cartão de Crédito,Mensal,False,Recorrente
c9861556,Porto,2023-09-26,2023-10-26,2470.0,Pix,Anual,True,Recorrente
d0259edc,Rios da Mata e Filhos,2023-09-22,2023-09-22,2068.98,Cartão de Crédito,Mensal,False,Recorrente
6f315db8,Pereira e Filhos,2023-09-17,2023-10-17,1701.08,Cartão de Crédito,Mensal,False,Recorrente
5af49509,Martins Garcia Ltda.,2023-09-22,2023-10-07,2387.2,Boleto,Mensal,True,Novo/Avulso
479f0db9,Rodrigues Duarte S/A,2023-09-08,2023-09-23,496.28,Boleto,Avulso,True,Novo/Avulso
99a74b94,Andrade Dias - ME,2023-09-07,2023-10-07,2232.42,Pix,Mensal,False,Novo/Avulso
4d377c78,Azevedo,2023-09-23,2023-09-23,723.36,Pix,Mensal,True,Novo/Avulso
26ea2adb,Alves e Filhos,2023-10-28,2023-11-12,208.78,Cartão de Crédito,Anual,False,Recorrente
dc017dbb,Carvalho Sousa S/A,2023-10-09,2023-10-09,370.18,Boleto,Mensal,False,Recorrente
de75e892,Alves S/A,2023-10-25,2023-11-24,655.99,Cartão de Crédito,Mensal,False,Recorrente
04c7dde8,da Conceição Montenegro - EI,2023-10-21,2023-10-21,2141.61,Pix,Mensal,False,Recorrente
1c51de70,Câmara,2023-10-15,2023-10-15,984.89,Pix,Mensal,False,Recorrente
f17e1047,Pastor,2023-10-08,2023-10-23,552.18,Pix,Anual,False,Recorrente
721a5b18,Abreu,2023-10-11,2023-11-10,478.13,Pix,Mensal,True,Recorrente
c30ec803,Ferreira,2023-10-05,2023-10-05,1979.77,Pix,Anual,True,Recorrente
e7a9cd8e,Aparecida,2023-10-13,2023-11-12,1366.3,Boleto,Mensal,True,Recorrente
321e95f3,Nascimento,2023-10-23,2023-10-23,1532.53,Boleto,Mensal,True,Recorrente
5439c5db,Garcia S/A,2023-10-14,2023-10-29,1633.09,Boleto,Mensal,False,Recorrente
f054c929,Pires,2023-10-18,2023-11-02,2498.31,Boleto,Mensal,False,Recorrente
5273816e,Oliveira,2023-10-02,2023-10-02,1281.19,Cartão de Crédito,Mensal,False,Recorrente
56448845,Santos Azevedo S/A,2023-10-13,2023-11-12,2465.48,Cartão de Crédito,Mensal,True,Recorrente
087350d2,Vargas da Rocha S/A,2023-10-28,2023-11-27,650.91,Cartão de Crédito,Mensal,False,Recorrente
a827e2f0,Porto,2023-10-16,2023-10-16,2470.0,Pix,Anual,False,Recorrente
7c48005c,Rios da Mata e Filhos,2023-10-10,2023-10-25,2068.98,Cartão de Crédito,Mensal,False,Recorrente
ed1a68eb,Pereira e Filhos,2023-10-18,2023-11-17,1701.08,Cartão de Crédito,Mensal,True,Recorrente
4626b312,Martins Garcia Ltda.,2023-10-16,2023-10-16,2387.2,Boleto,Mensal,False,Recorrente
59595c21,Andrade Dias - ME,2023-10-14,2023-10-29,2232.42,Pix,Mensal,True,Recorrente
520263a9,Azevedo,2023-10-13,2023-10-28,723.36,Pix,Mensal,False,Recorrente
5b20d131,Nunes Silva Ltda.,2023-10-20,2023-11-19,2125.19,Boleto,Avulso,True,Novo/Avulso
9b1e12b8,Rezende Monteiro - ME,2023-10-01,2023-10-01,1540.95,Pix,Avulso,False,Novo/Avulso
dcdc7ee6,Casa Grande,2023-10-09,2023-10-24,1234.99,Boleto,Mensal,False,Novo/Avulso
75799788,Carvalho,2023-10-09,2023-10-24,918.09,Cartão de Crédito,Mensal,False,Novo/Avulso
64c9add3,Alves e Filhos,2023-11-25,2023-11-25,208.78,Cartão de Crédito,Anual,False,Recorrente
32c367fb,Carvalho Sousa S/A,2023-11-04,2023-12-04,370.18,Boleto,Mensal,True,Recorrente
7d23d01e,Alves S/A,2023-11-30,2023-12-15,655.99,Cartão de Crédito,Mensal,False,Recorrente
17ba2e6c,da Conceição Montenegro - EI,2023-11-13,2023-12-13,2141.61,Pix,Mensal,True,Recorrente
387d948d,Câmara,2023-11-03,2023-12-03,984.89,Pix,Mensal,True,Recorrente
9b705a5d,Pastor,2023-11-04,2023-12-04,552.18,Pix,Anual,False,Recorrente
b98f1f92,Abreu,2023-11-28,2023-12-28,478.13,Pix,Mensal,True,Recorrente
015ffe9e,Ferreira,2023-11-26,2023-12-26,1979.77,Pix,Anual,True,Recorrente
aed979b9,Aparecida,2023-11-12,2023-12-12,1366.3,Boleto,Mensal,False,Recorrente
bfaebd55,Nascimento,2023-11-22,2023-12-07,1532.53,Boleto,Mensal,True,Recorrente
c8e97b75,Garcia S/A,2023-11-17,2023-12-17,1633.09,Boleto,Mensal,False,Recorrente
81daad46,Pires,2023-11-01,2023-11-16,2498.31,Boleto,Mensal,False,Recorrente
92e9302f,Oliveira,2023-11-04,2023-11-19,1281.19,Cartão de Crédito,Mensal,False,Recorrente
396fa902,Santos Azevedo S/A,2023-11-21,2023-12-06,2465.48,Cartão de Crédito,Mensal,True,Recorrente
136edf96,Vargas da Rocha S/A,2023-11-14,2023-11-14,650.91,Cartão de Crédito,Mensal,False,Recorrente
fd3f22ef,Porto,2023-11-20,2023-12-20,2470.0,Pix,Anual,False,Recorrente
c3b207b2,Rios da Mata e Filhos,2023-11-15,2023-11-30,2068.98,Cartão de Crédito,Mensal,False,Recorrente
0ab8fbe4,Pereira e Filhos,2023-11-11,2023-11-11,1701.08,Cartão de Crédito,Mensal,True,Recorrente
41b9e65e,Martins Garcia Ltda.,2023-11-09,2023-11-24,2387.2,Boleto,Mensal,True,Recorrente
14979b82,Andrade Dias - ME,2023-11-25,2023-12-10,2232.42,Pix,Mensal,False,Recorrente
1427ba87,Azevedo,2023-11-11,2023-11-11,723.36,Pix,Mensal,False,Recorrente
954bd06e,Casa Grande,2023-11-28,2023-12-13,1234.99,Boleto,Mensal,True,Recorrente
c576b9bb,Carvalho,2023-11-16,2023-11-16,918.09,Cartão de Crédito,Mensal,False,Recorrente
1b442c9e,Souza Novais - EI,2023-11-23,2023-12-08,949.8,Pix,Avulso,True,Novo/Avulso
13679eb2,Souza,2023-11-24,2023-12-09,598.98,Boleto,Anual,False,Novo/Avulso
0d2fb008,Pacheco,2023-11-21,2023-12-21,714.76,Cartão de Crédito,Anual,False,Novo/Avulso
7c3b9902,Fonseca,2023-11-08,2023-11-23,190.52,Cartão de Crédito,Mensal,True,Novo/Avulso
4a846e40,Alves e Filhos,2023-12-01,2023-12-31,208.78,Cartão de Crédito,Anual,True,Recorrente
b6ec73d0,Carvalho Sousa S/A,2023-12-09,2023-12-09,370.18,Boleto,Mensal,True,Recorrente
d227a6d9,Alves S/A,2023-12-18,2024-01-02,655.99,Cartão de Crédito,Mensal,True,Recorrente
bdaee6f1,da Conceição Montenegro - EI,2023-12-21,2024-01-05,2141.61,Pix,Mensal,True,Recorrente
463b779b,Câmara,2023-12-28,2023-12-28,984.89,Pix,Mensal,False,Recorrente
bcb14370,Pastor,2023-12-16,2023-12-31,552.18,Pix,Anual,False,Recorrente
2145b9d0,Abreu,2023-12-11,2023-12-11,478.13,Pix,Mensal,True,Recorrente
6fddb145,Ferreira,2023-12-09,2023-12-24,1979.77,Pix,Anual,True,Recorrente
92849fb6,Aparecida,2023-12-27,2023-12-27,1366.3,Boleto,Mensal,False,Recorrente
dd3b40cc,Nascimento,2023-12-16,2023-12-16,1532.53,Boleto,Mensal,True,Recorrente
b3e80ae2,Garcia S/A,2023-12-05,2023-12-05,1633.09,Boleto,Mensal,False,Recorrente
ec022829,Pires,2023-12-03,2023-12-03,2498.31,Boleto,Mensal,True,Recorrente
c918de19,Oliveira,2023-12-18,2024-01-02,1281.19,Cartão de Crédito,Mensal,True,Recorrente
0d7df0bc,Santos Azevedo S/A,2023-12-25,2024-01-24,2465.48,Cartão de Crédito,Mensal,False,Recorrente
5a81215c,Vargas da Rocha S/A,2023-12-15,2023-12-30,650.91,Cartão de Crédito,Mensal,False,Recorrente
cf926f68,Porto,2023-12-28,2024-01-27,2470.0,Pix,Anual,False,Recorrente
028af18d,Rios da Mata e Filhos,2023-12-10,2024-01-09,2068.98,Cartão de Crédito,Mensal,True,Recorrente
807302e5,Pereira e Filhos,2023-12-20,2024-01-19,1701.08,Cartão de Crédito,Mensal,True,Recorrente
53a14ed8,Martins Garcia Ltda.,2023-12-31,2023-12-31,2387.2,Boleto,Mensal,True,Recorrente
7666875d,Andrade Dias - ME,2023-12-09,2024-01-08,2232.42,Pix,Mensal,True,Recorrente
85008cb9,Azevedo,2023-12-06,2023-12-06,723.36,Pix,Mensal,True,Recorrente
3ff293f7,Casa Grande,2023-12-18,2023-12-18,1234.99,Boleto,Mensal,True,Recorrente
c7001253,Carvalho,2023-12-01,2023-12-16,918.09,Cartão de Crédito,Mensal,False,Recorrente
93eeca8a,Souza,2023-12-23,2024-01-22,598.98,Boleto,Anual,False,Recorrente
463d2aa3,Pacheco,2023-12-10,2023-12-10,714.76,Cartão de Crédito,Anual,True,Recorrente
f02427d4,Fonseca,2023-12-10,2024-01-09,190.52,Cartão de Crédito,Mensal,False,Recorrente
22bf4c59,Carvalho Moraes - ME,2023-12-08,2023-12-23,1216.97,Pix,Avulso,True,Novo/Avulso
042af978,Sá S/A,2023-12-05,2023-12-20,1429.72,Pix,Mensal,True,Novo/Avulso
2ef0969f,Cassiano e Filhos,2023-12-20,2024-01-19,539.92,Cartão de Crédito,Mensal,False,Novo/Avulso
eec2d44f,Vieira Rodrigues - ME,2023-12-23,2024-01-07,1251.44,Cartão de Crédito,Mensal,False,Novo/Avulso
7a777bed,Alves e Filhos,2024-01-11,2024-01-26,208.78,Cartão de Crédito,Anual,False,Recorrente
c788408d,Carvalho Sousa S/A,2024-01-10,2024-02-09,370.18,Boleto,Mensal,False,Recorrente
1c40386b,Alves S/A,2024-01-27,2024-02-26,655.99,Cartão de Crédito,Mensal,True,Recorrente
cf531027,da Conceição Montenegro - EI,2024-01-15,2024-01-15,2141.61,Pix,Mensal,False,Recorrente
5ac8f1a1,Câmara,2024-01-09,2024-01-24,984.89,Pix,Mensal,True,Recorrente
17ae13c9,Pastor,2024-01-25,2024-02-09,552.18,Pix,Anual,True,Recorrente
21f58965,Abreu,2024-01-22,2024-02-21,478.13,Pix,Mensal,False,Recorrente
c6376f8a,Ferreira,2024-01-14,2024-01-14,1979.77,Pix,Anual,True,Recorrente
145da7d4,Aparecida,2024-01-17,2024-02-01,1366.3,Boleto,Mensal,False,Recorrente
9cac6b72,Nascimento,2024-01-21,2024-02-05,1532.53,Boleto,Mensal,True,Recorrente
cc130572,Garcia S/A,2024-01-07,2024-01-22,1633.09,Boleto,Mensal,True,Recorrente
0134a1f6,Pires,2024-01-30,2024-02-14,2498.31,Boleto,Mensal,False,Recorrente
8f80a5e0,Oliveira,2024-01-29,2024-02-28,1281.19,Cartão de Crédito,Mensal,False,Recorrente
0bb9c33c,Santos Azevedo S/A,2024-01-04,2024-01-04,2465.48,Cartão de Crédito,Mensal,True,Recorrente
c5b0eda5,Vargas da Rocha S/A,2024-01-23,2024-01-23,650.91,Cartão de Crédito,Mensal,False,Recorrente
3b0e6f83,Porto,2024-01-18,2024-01-18,2470.0,Pix,Anual,False,Recorrente
c05570f9,Rios da Mata e Filhos,2024-01-03,2024-01-03,2068.98,Cartão de Crédito,Mensal,True,Recorrente
310434d8,Pereira e Filhos,2024-01-15,2024-01-15,1701.08,Cartão de Crédito,Mensal,True,Recorrente
7553ffda,Martins Garcia Ltda.,2024-01-16,2024-02-15,2387.2,Boleto,Mensal,False,Recorrente
7ad1a655,Andrade Dias - ME,2024-01-17,2024-02-16,2232.42,Pix,Mensal,False,Recorrente
59f2d871,Azevedo,2024-01-14,2024-01-29,723.36,Pix,Mensal,False,Recorrente
ea2b6409,Casa Grande,2024-01-08,2024-01-23,1234.99,Boleto,Mensal,True,Recorrente
1cbd74ba,Carvalho,2024-01-13,2024-01-13,918.09,Cartão de Crédito,Mensal,True,Recorrente
e9136a88,Souza,2024-01-28,2024-01-28,598.98,Boleto,Anual,False,Recorrente
092f5506,Pacheco,2024-01-25,2024-02-09,714.76,Cartão de Crédito,Anual,False,Recorrente
beec34ce,Fonseca,2024-01-30,2024-02-29,190.52,Cartão de Crédito,Mensal,False,Recorrente
69e3b40a,Sá S/A,2024-01-27,2024-01-27,1429.72,Pix,Mensal,False,Recorrente
93ab0ae5,Cassiano e Filhos,2024-01-24,2024-02-08,539.92,Cartão de Crédito,Mensal,False,Recorrente
d7569e6e,Vieira Rodrigues - ME,2024-01-28,2024-01-28,1251.44,Cartão de Crédito,Mensal,False,Recorrente
a79a795d,Gomes - ME,2024-01-25,2024-02-24,961.04,Pix,Anual,False,Novo/Avulso
e330b587,Moura,2024-01-23,2024-01-23,906.18,Boleto,Mensal,False,Novo/Avulso
a52f3c41,Novaes,2024-01-11,2024-02-10,1972.53,Boleto,Mensal,False,Novo/Avulso
cefcb74b,Rodrigues e Filhos,2024-01-22,2024-02-21,2056.81,Cartão de Crédito,Avulso,True,Novo/Avulso
40c69dba,Alves e Filhos,2024-02-14,2024-02-14,208.78,Cartão de Crédito,Anual,True,Recorrente
c83513fb,Carvalho Sousa S/A,2024-02-15,2024-02-15,370.18,Boleto,Mensal,False,Recorrente
e1b149de,Alves S/A,2024-02-29,2024-02-29,655.99,Cartão de Crédito,Mensal,True,Recorrente
6b8faf1a,da Conceição Montenegro - EI,2024-02-11,2024-02-11,2141.61,Pix,Mensal,False,Recorrente
421cc28a,Câmara,2024-02-12,2024-02-27,984.89,Pix,Mensal,False,Recorrente
cc931e4a,Pastor,2024-02-05,2024-02-05,552.18,Pix,Anual,False,Recorrente
71f119a5,Abreu,2024-02-19,2024-03-20,478.13,Pix,Mensal,True,Recorrente
55c96e30,Ferreira,2024-02-06,2024-02-06,1979.77,Pix,Anual,True,Recorrente
996fb8e4,Aparecida,2024-02-20,2024-03-06,1366.3,Boleto,Mensal,True,Recorrente
fc3a71fc,Nascimento,2024-02-16,2024-03-17,1532.53,Boleto,Mensal,True,Recorrente
c51d94b9,Garcia S/A,2024-02-08,2024-02-23,1633.09,Boleto,Mensal,False,Recorrente
0a9119e4,Pires,2024-02-15,2024-03-01,2498.31,Boleto,Mensal,True,Recorrente
a3c63e57,Oliveira,2024-02-29,2024-03-15,1281.19,Cartão de Crédito,Mensal,False,Recorrente
7ac24e3f,Santos Azevedo S/A,2024-02-22,2024-03-23,2465.48,Cartão de Crédito,Mensal,True,Recorrente
9d15c238,Vargas da Rocha S/A,2024-02-03,2024-02-18,650.91,Cartão de Crédito,Mensal,False,Recorrente
d9cd0922,Porto,2024-02-19,2024-03-05,2470.0,Pix,Anual,False,Recorrente
2babbe0a,Rios da Mata e Filhos,2024-02-23,2024-03-09,2068.98,Cartão de Crédito,Mensal,False,Recorrente
c9d7dbd3,Pereira e Filhos,2024-02-28,2024-03-14,1701.08,Cartão de Crédito,Mensal,True,Recorrente
09211a5e,Martins Garcia Ltda.,2024-02-13,2024-02-28,2387.2,Boleto,Mensal,True,Recorrente
10493f20,Andrade Dias - ME,2024-02-08,2024-02-23,2232.42,Pix,Mensal,False,Recorrente
66818ca4,Azevedo,2024-02-19,2024-03-05,723.36,Pix,Mensal,False,Recorrente
0c0917e9,Casa Grande,2024-02-01,2024-03-02,1234.99,Boleto,Mensal,False,Recorrente
54c99d86,Carvalho,2024-02-09,2024-02-09,918.09,Cartão de Crédito,Mensal,True,Recorrente
500dc943,Souza,2024-02-20,2024-03-21,598.98,Boleto,Anual,False,Recorrente
9597a61e,Pacheco,2024-02-27,2024-03-13,714.76,Cartão de Crédito,Anual,True,Recorrente
4ce385f7,Fonseca,2024-02-20,2024-03-06,190.52,Cartão de Crédito,Mensal,True,Recorrente
6f9dfc9c,Sá S/A,2024-02-21,2024-02-21,1429.72,Pix,Mensal,False,Recorrente
08527624,Cassiano e Filhos,2024-02-22,2024-03-23,539.92,Cartão de Crédito,Mensal,True,Recorrente
